,Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Intl_Plan,Vmail_Plan,Day_Calls,Day_Charge,Eve_Calls,Eve_Charge,Night_Calls,Night_Charge,Intl_Calls,Intl_Charge,State,Phone,Churn,total_mins,total_bills
45,59,28,120.9,213.0,163.1,8.5,2,0,1,97,20.55,92,18.11,116,7.34,5,2.3,OR,353-3061,0,505.5,48.3
46,65,0,211.3,162.6,134.7,13.2,3,0,0,120,35.92,122,13.82,118,6.06,5,3.56,MI,363-5450,0,521.8,59.36000000000001
47,142,0,187.0,134.6,242.2,7.4,2,0,0,133,31.79,74,11.44,127,10.9,5,2.0,DE,364-1995,0,571.1999999999999,56.129999999999995
48,119,0,159.1,231.3,143.2,8.8,5,0,0,114,27.05,117,19.66,91,6.44,3,2.38,ID,398-1294,1,542.3999999999999,55.53
49,97,24,133.2,217.2,70.6,11.0,1,0,1,135,22.64,58,18.46,79,3.18,3,2.97,WY,405-7146,0,432.0,47.25
50,52,0,191.9,269.8,236.8,7.8,3,0,0,108,32.62,96,22.93,87,10.66,5,2.11,IA,413-4957,0,706.3,68.32
51,60,0,220.6,211.1,249.0,6.8,1,0,0,57,37.5,115,17.94,129,11.21,3,1.84,IN,420-5645,0,687.5,68.49000000000001
52,10,0,186.1,190.2,282.8,11.4,2,0,0,112,31.64,66,16.17,57,12.73,6,3.08,VA,349-4396,0,670.4999999999999,63.620000000000005
53,96,0,160.2,267.5,228.5,9.3,2,0,0,117,27.23,67,22.74,68,10.28,5,2.51,UT,404-3211,0,665.5,62.76
54,87,0,151.0,219.7,203.9,9.7,5,0,0,83,25.67,116,18.67,127,9.18,3,2.62,WY,353-3759,1,584.3000000000001,56.14
55,81,0,175.5,249.3,270.2,10.2,1,0,0,67,29.84,85,21.19,98,12.16,3,2.75,IN,363-5947,0,705.2,65.94
56,141,0,126.9,180.0,140.8,8.0,1,0,0,98,21.57,62,15.3,128,6.34,2,2.16,CO,340-5121,0,455.7,45.370000000000005
57,121,30,198.4,75.3,181.2,5.8,3,0,1,129,33.73,77,6.4,77,8.15,3,1.57,CO,370-7574,1,460.7,49.849999999999994
58,68,0,148.8,246.5,129.8,12.1,3,0,0,70,25.3,164,20.95,103,5.84,3,3.27,WI,403-9733,0,537.2,55.36000000000001
59,125,0,229.3,177.4,189.3,12.0,1,0,0,103,38.98,126,15.08,95,8.52,8,3.24,OK,355-7251,0,608.0,65.82
60,174,0,192.1,169.9,166.6,11.4,1,0,0,97,32.66,94,14.44,54,7.5,4,3.08,ID,359-5893,0,540.0,57.67999999999999
61,116,34,268.6,178.2,166.3,11.6,2,0,1,83,45.66,142,15.15,106,7.48,3,3.13,CA,405-3371,0,624.7,71.41999999999999
62,74,33,193.7,246.1,138.0,14.6,2,0,1,91,32.93,96,20.92,92,6.21,3,3.94,MN,344-5117,0,592.4,64.0
63,149,28,180.7,187.8,265.5,12.6,3,0,1,92,30.72,64,15.96,53,11.95,3,3.4,SD,332-8160,0,646.6,62.029999999999994
64,38,0,131.2,162.9,159.0,8.2,2,0,0,98,22.3,97,13.85,106,7.15,6,2.21,NC,359-4081,0,461.3,45.51
65,40,41,148.1,169.5,214.1,6.2,2,0,1,74,25.18,88,14.41,102,9.63,5,1.67,WA,352-8305,0,537.9000000000001,50.89000000000001
66,43,0,251.5,212.8,157.8,9.3,0,1,0,105,42.76,104,18.09,67,7.1,4,2.51,WY,329-9847,0,631.4,70.46
67,113,0,125.2,206.4,129.3,8.3,0,1,0,93,21.28,119,17.54,139,5.82,8,2.24,MN,365-9011,0,469.20000000000005,46.88
68,126,0,211.6,216.9,153.5,7.8,1,0,0,70,35.97,80,18.44,60,6.91,1,2.11,UT,338-9472,0,589.8,63.42999999999999
69,150,0,178.9,169.1,148.6,13.8,4,0,0,101,30.41,110,14.37,100,6.69,3,3.73,TX,374-8042,1,510.40000000000003,55.199999999999996
70,138,0,241.8,170.5,295.3,11.8,3,0,0,93,41.11,83,14.49,104,13.29,7,3.19,NJ,359-1231,0,719.4,72.08
71,162,46,224.9,188.2,254.6,12.1,0,0,1,97,38.23,84,16.0,61,11.46,2,3.27,MN,413-7170,0,679.8000000000001,68.96
72,147,0,248.6,148.9,172.5,8.0,3,0,0,83,42.26,85,12.66,109,7.76,4,2.16,NM,415-2935,0,578.0,64.84
73,90,0,203.4,226.7,152.4,7.3,1,0,0,146,34.58,117,19.27,105,6.86,4,1.97,NV,399-4246,0,589.8,62.67999999999999
74,85,0,235.8,157.2,188.2,12.0,0,0,0,109,40.09,94,13.36,99,8.47,3,3.24,HI,362-5889,0,593.2,65.16
75,50,0,157.1,223.3,181.4,6.1,1,0,0,90,26.71,72,18.98,111,8.16,2,1.65,MN,350-8921,0,567.9,55.49999999999999
76,82,0,300.3,181.0,270.1,11.7,0,0,0,109,51.05,100,15.39,73,12.15,4,3.16,DC,374-5353,1,763.1000000000001,81.75
77,144,0,61.6,77.1,173.0,8.2,4,0,0,117,10.47,85,6.55,99,7.79,7,2.21,NY,360-1171,1,319.9,27.02
78,46,0,214.1,164.4,177.5,8.2,2,0,0,72,36.4,104,13.97,113,7.99,3,2.21,MN,355-8887,0,564.2,60.57
79,70,0,170.2,155.2,228.6,15.0,1,0,0,98,28.93,102,13.19,76,10.29,2,4.05,MD,333-1967,0,569.0,56.459999999999994
80,144,0,201.1,303.5,224.0,13.2,1,0,0,99,34.19,74,25.8,119,10.08,2,3.56,WV,354-4577,0,741.8000000000001,73.63
81,116,0,215.4,204.8,278.5,12.6,3,1,0,104,36.62,79,17.41,109,12.53,5,3.4,OR,331-7425,0,711.3000000000001,69.96000000000001
82,55,25,165.6,136.1,175.7,11.0,3,0,1,123,28.15,95,11.57,90,7.91,2,2.97,CO,419-2637,0,488.4,50.599999999999994
83,70,24,249.5,259.7,222.7,9.8,1,0,1,101,42.42,98,22.07,68,10.02,4,2.65,GA,411-1530,0,741.6999999999999,77.16000000000001
84,106,0,210.6,249.2,191.4,12.4,2,0,0,96,35.8,85,21.18,88,8.61,1,3.35,TX,395-3026,1,663.5999999999999,68.94
85,128,29,179.3,225.9,323.0,8.6,0,0,1,104,30.48,86,19.2,78,14.54,7,2.32,VT,388-6441,0,736.8000000000001,66.53999999999999
86,94,0,157.9,155.0,189.6,8.0,4,0,0,105,26.84,101,13.18,84,8.53,5,2.16,IN,402-1251,1,510.5,50.709999999999994
87,111,0,214.3,208.5,182.4,12.0,1,0,0,118,36.43,76,17.72,98,8.21,2,3.24,WV,412-9997,0,617.2,65.6
88,74,35,154.1,123.4,202.1,10.9,2,0,1,104,26.2,84,10.49,57,9.09,9,2.94,KY,346-7302,0,490.5,48.72
89,128,0,237.9,247.6,208.9,13.9,1,0,0,125,40.44,93,21.05,68,9.4,4,3.75,NJ,358-9095,1,708.3,74.64
90,82,0,143.9,194.9,109.6,11.1,1,0,0,61,24.46,105,16.57,94,4.93,2,3.0,DC,400-9770,0,459.5,48.96
91,155,0,203.4,190.9,196.0,8.9,0,0,0,100,34.58,104,16.23,119,8.82,4,2.4,LA,334-1275,1,599.1999999999999,62.03
92,80,0,124.3,173.0,253.2,7.9,1,0,0,100,21.13,107,14.71,62,11.39,9,2.13,AR,340-4953,0,558.4,49.36000000000001
93,78,0,252.9,178.4,263.9,9.5,3,0,0,93,42.99,112,15.16,105,11.88,7,2.57,ME,400-9510,0,704.7,72.6
94,90,0,179.1,190.6,127.7,10.6,3,0,0,71,30.45,81,16.2,91,5.75,7,2.86,AZ,387-6103,0,508.0,55.26
95,104,0,278.4,81.0,163.2,9.8,1,0,0,106,47.33,113,6.89,137,7.34,5,2.65,AK,366-4467,0,532.3999999999999,64.21000000000001
96,73,0,160.1,213.3,174.1,13.0,0,0,0,110,27.22,72,18.13,72,7.83,4,3.51,MT,370-3450,0,560.5,56.68999999999999
97,99,0,198.2,207.3,190.9,8.7,4,0,0,87,33.69,76,17.62,113,8.59,3,2.35,AZ,327-3954,0,605.1,62.25000000000001
98,120,0,212.1,209.4,167.2,5.3,1,0,0,131,36.06,104,17.8,96,7.52,5,1.43,MS,355-6291,1,594.0,62.809999999999995
99,77,0,251.8,205.7,275.2,9.8,2,0,0,72,42.81,126,17.48,109,12.38,7,2.65,ID,362-9748,1,742.5,75.32000000000001
100,98,21,161.2,252.2,160.2,4.4,4,0,1,114,27.4,83,21.44,92,7.21,8,1.19,IA,379-6506,0,577.9999999999999,57.24
101,108,0,178.3,189.0,129.1,14.6,0,0,0,137,30.31,76,16.07,102,5.81,5,3.94,MA,347-7741,0,511.0,56.129999999999995
102,135,0,151.7,119.0,180.0,10.5,0,0,0,82,25.79,105,10.12,100,8.1,6,2.84,VT,354-3783,0,461.2,46.849999999999994
103,95,0,135.0,183.6,245.3,12.5,1,0,0,99,22.95,106,15.61,102,11.04,9,3.38,KY,401-7594,0,576.4000000000001,52.980000000000004
104,122,0,170.5,173.7,248.6,11.3,1,0,0,94,28.99,109,14.76,75,11.19,2,3.05,IN,397-4976,0,604.0999999999999,57.989999999999995
105,95,0,238.1,187.2,190.0,11.8,4,0,0,65,40.48,98,15.91,115,8.55,4,3.19,AZ,334-2577,0,627.0999999999999,68.13
106,36,29,281.4,202.2,187.2,9.0,2,0,1,102,47.84,76,17.19,113,8.42,6,2.43,MI,400-3637,0,679.8,75.88000000000001
107,93,21,117.9,164.5,217.0,9.8,1,0,1,131,20.04,115,13.98,86,9.76,3,2.65,NM,383-4361,0,509.2,46.42999999999999
108,141,32,148.6,131.1,219.4,10.1,1,0,1,91,25.26,97,11.14,142,9.87,1,2.73,CO,371-4306,0,509.20000000000005,49.0
109,157,0,229.8,147.9,241.4,9.6,3,0,0,90,39.07,121,12.57,108,10.86,7,2.59,UT,403-4298,0,628.7,65.09
110,120,0,165.0,317.2,119.2,8.3,1,0,0,100,28.05,83,26.96,86,5.36,8,2.24,MI,409-3786,0,609.6999999999999,62.61000000000001
111,103,0,185.0,223.3,222.8,12.6,2,0,0,117,31.45,94,18.98,91,10.03,2,3.4,MA,337-4697,0,643.7,63.86
112,98,0,161.0,190.9,227.7,12.1,4,0,0,117,27.37,113,16.23,113,10.25,4,3.27,AL,383-1509,0,591.6999999999999,57.120000000000005
113,125,0,126.7,206.0,247.8,13.3,1,0,0,108,21.54,90,17.51,114,11.15,7,3.59,DE,359-9794,0,593.8,53.78999999999999
114,63,0,58.9,169.6,211.4,9.4,1,0,0,125,10.01,59,14.42,88,9.51,3,2.54,AZ,407-7035,0,449.29999999999995,36.48
115,36,42,196.8,254.9,138.3,20.0,0,1,1,89,33.46,122,21.67,126,6.22,6,5.4,ME,363-1069,1,610.0,66.75
116,64,0,162.6,152.3,57.5,14.2,1,0,0,83,27.64,109,12.95,122,2.59,3,3.83,NJ,391-4652,0,386.59999999999997,47.010000000000005
117,74,0,282.5,219.9,170.0,9.4,1,0,0,114,48.03,48,18.69,115,7.65,4,2.54,NV,355-6837,1,681.8,76.91000000000001
118,112,36,113.7,157.5,177.6,10.0,2,0,1,117,19.33,82,13.39,118,7.99,3,2.7,MO,409-1244,0,458.79999999999995,43.410000000000004
119,97,0,239.8,214.8,143.3,8.7,2,0,0,125,40.77,111,18.26,81,6.45,5,2.35,ID,328-3266,0,606.6000000000001,67.83
120,46,0,210.2,227.3,200.1,13.1,1,0,0,92,35.73,77,19.32,116,9.0,7,3.54,NE,352-7072,0,650.7,67.59
121,41,22,213.8,141.8,142.2,7.2,0,0,1,102,36.35,86,12.05,123,6.4,3,1.94,TX,370-7550,0,505.0,56.74
122,121,0,190.7,183.5,220.8,9.8,3,0,0,103,32.42,117,15.6,103,9.94,4,2.65,MD,369-5526,0,604.8,60.61
123,193,0,170.9,132.3,112.9,11.6,1,0,0,124,29.05,95,11.25,89,5.08,3,3.13,MS,329-4391,0,427.70000000000005,48.51
124,130,0,154.2,110.2,227.4,9.2,2,0,0,119,26.21,98,9.37,117,10.23,5,2.48,NV,408-4195,0,500.99999999999994,48.29
125,85,0,201.4,229.4,252.5,12.0,1,0,0,52,34.24,104,19.5,106,11.36,3,3.24,AZ,354-4445,0,695.3,68.33999999999999
126,162,0,70.7,157.5,154.8,9.1,4,0,0,108,12.02,87,13.39,82,6.97,3,2.46,MS,335-4858,1,392.1,34.84
127,61,27,187.5,146.6,225.7,6.4,4,0,1,124,31.88,103,12.46,129,10.16,6,1.73,MS,414-8718,1,566.1999999999999,56.23
128,92,0,91.7,193.7,175.0,9.2,2,0,0,90,15.59,123,16.46,86,7.88,4,2.48,TX,409-5939,0,469.59999999999997,42.41
129,131,36,214.2,161.7,264.7,9.5,3,0,1,115,36.41,117,13.74,102,11.91,4,2.57,NE,331-4902,0,650.0999999999999,64.63
130,90,0,145.5,217.7,146.9,10.9,3,0,0,92,24.74,114,18.5,123,6.61,2,2.94,NE,353-6870,0,521.0,52.78999999999999
131,75,0,166.3,158.2,256.7,6.1,1,0,0,125,28.27,86,13.45,80,11.55,5,1.65,CA,355-2909,0,587.3000000000001,54.919999999999995
132,78,0,231.0,230.4,261.4,9.5,1,0,0,115,39.27,140,19.58,120,11.76,3,2.57,NJ,390-6101,0,732.3,73.17999999999999
133,82,0,200.3,201.2,206.1,7.1,4,0,0,96,34.05,102,17.1,60,9.27,1,1.92,TX,400-3446,0,614.7,62.34
134,163,0,197.0,202.6,206.4,9.1,1,0,0,109,33.49,128,17.22,80,9.29,10,2.46,AR,411-5859,0,615.1,62.46
135,91,0,129.9,173.3,247.2,11.2,3,1,0,112,22.08,83,14.73,130,11.12,3,3.02,AL,387-2919,0,561.6000000000001,50.95
136,75,21,175.8,217.5,237.5,5.3,5,0,1,97,29.89,106,18.49,134,10.69,4,1.43,NY,374-8525,0,636.0999999999999,60.49999999999999
137,91,0,203.1,210.1,195.6,12.0,3,0,0,106,34.53,113,17.86,129,8.8,3,3.24,FL,379-5592,0,620.8,64.42999999999999
138,127,36,183.2,126.8,263.3,11.2,1,0,1,117,31.14,76,10.78,71,11.85,8,3.02,AK,345-8237,0,584.5,56.790000000000006
139,113,23,205.0,152.0,158.6,10.2,2,0,1,101,34.85,60,12.92,59,7.14,5,2.75,NV,422-6690,0,525.8000000000001,57.660000000000004
140,110,0,148.5,276.4,193.6,12.4,1,0,0,115,25.25,84,23.49,112,8.71,3,3.35,DE,346-2359,0,630.9,60.8
141,120,39,200.3,220.4,253.8,10.5,0,0,1,68,34.05,97,18.73,116,11.42,4,2.84,MD,374-3534,0,685.0,67.04
142,157,28,192.6,195.5,109.7,6.8,3,0,1,107,32.74,74,16.62,139,4.94,5,1.84,MI,381-4756,0,504.6,56.14
143,103,0,246.5,195.5,200.5,11.7,1,0,0,47,41.91,84,16.62,96,9.02,4,3.16,VT,390-2805,0,654.2,70.71
144,117,0,167.1,177.5,249.4,14.1,2,1,0,86,28.41,87,15.09,132,11.22,7,3.81,VT,390-2390,1,608.1,58.53
145,140,0,231.9,160.1,110.4,14.3,3,0,0,101,39.42,94,13.61,98,4.97,6,3.86,MI,419-9097,0,516.6999999999999,61.86
146,127,0,146.7,203.5,203.4,13.7,1,0,0,91,24.94,78,17.3,110,9.15,3,3.7,WA,386-7281,0,567.3000000000001,55.09
147,83,0,271.5,216.3,121.1,11.7,1,1,0,87,46.16,126,18.39,105,5.45,4,3.16,UT,380-3561,0,620.6,73.16
148,121,0,181.5,218.4,161.6,8.5,1,0,0,121,30.86,98,18.56,103,7.27,5,2.3,LA,390-8760,0,570.0,58.989999999999995
149,145,43,257.7,162.1,286.9,11.1,2,0,1,97,43.81,95,13.78,86,12.91,4,3.0,RI,366-6730,0,717.8,73.5
150,113,0,193.8,221.4,172.3,10.6,1,0,0,99,32.95,125,18.82,67,7.75,6,2.86,IA,395-5285,0,598.1,62.38
151,117,0,102.8,206.7,299.0,10.1,1,0,0,119,17.48,91,17.57,105,13.46,7,2.73,NE,354-3436,0,618.6,51.239999999999995
152,65,0,187.9,157.6,227.3,7.5,1,0,0,116,31.94,117,13.4,86,10.23,6,2.03,OH,336-7600,0,580.3,57.60000000000001
153,56,0,226.0,248.5,140.5,6.9,1,0,0,112,38.42,118,21.12,142,6.32,11,1.86,RI,383-6293,0,621.9,67.72000000000001
154,96,0,260.4,146.0,269.5,11.5,5,0,0,115,44.27,46,12.41,87,12.13,4,3.11,OK,362-4596,0,687.4,71.92
155,151,0,178.7,292.1,265.9,9.8,0,0,0,116,30.38,138,24.83,101,11.97,4,2.65,LA,401-3926,0,746.5,69.83
156,83,0,337.4,227.4,153.9,15.8,0,0,0,120,57.36,116,19.33,114,6.93,7,4.27,OH,370-9116,1,734.4999999999999,87.89
157,139,23,157.6,247.0,259.2,13.7,0,0,1,129,26.79,96,21.0,112,11.66,2,3.7,VA,328-6289,0,677.5,63.150000000000006
158,6,0,183.6,256.7,178.6,10.2,1,0,0,117,31.21,72,21.82,79,8.04,2,2.75,MO,350-9994,0,629.1,63.82
159,115,24,142.1,183.4,164.8,9.6,1,0,1,124,24.16,129,15.59,114,7.42,4,2.59,FL,351-4616,0,499.90000000000003,49.760000000000005
160,87,0,136.3,172.2,137.5,7.1,0,0,0,97,23.17,108,14.64,101,6.19,5,1.92,SC,360-5779,0,453.1,45.92
161,141,0,217.1,241.5,253.5,12.0,0,0,0,110,36.91,111,20.53,103,11.41,6,3.24,VA,417-4885,0,724.1,72.08999999999999
162,141,36,187.5,241.4,229.5,10.5,3,0,1,99,31.88,116,20.52,105,10.33,5,2.84,IA,406-4710,0,668.9,65.57
163,62,0,98.9,135.4,236.6,12.2,1,0,0,103,16.81,122,11.51,82,10.65,1,3.29,MI,409-8743,0,483.09999999999997,42.26
164,146,0,206.3,148.6,167.2,6.1,1,0,0,151,35.07,89,12.63,91,7.52,3,1.65,OK,335-4584,0,528.1999999999999,56.87
165,92,33,243.1,213.8,228.7,12.1,2,0,1,92,41.33,92,18.17,104,10.29,2,3.27,DE,361-9845,0,697.6999999999999,73.05999999999999
166,185,31,189.8,163.3,264.8,7.5,1,0,1,126,32.27,133,13.88,126,11.92,3,2.03,GA,366-5699,0,625.4000000000001,60.10000000000001
167,148,0,202.0,243.2,261.3,10.9,1,0,0,102,34.34,128,20.67,90,11.76,3,2.94,DC,329-9364,0,717.4,69.71000000000001
168,94,38,170.1,193.3,105.9,12.8,1,0,1,124,28.92,116,16.43,73,4.77,4,3.46,AZ,390-7434,0,482.09999999999997,53.580000000000005
169,32,0,230.9,187.4,154.0,6.3,0,0,0,87,39.25,90,15.93,53,6.93,2,1.7,AL,404-9680,0,578.5999999999999,63.81
170,68,0,237.1,223.5,97.4,13.2,1,0,0,105,40.31,105,19.0,79,4.38,2,3.56,CO,338-9398,0,571.2,67.25
171,64,27,182.1,169.7,164.7,10.6,2,0,1,91,30.96,98,14.42,86,7.41,5,2.86,NH,394-2445,0,527.1,55.650000000000006
172,25,0,119.3,211.5,268.9,10.5,3,0,0,87,20.28,101,17.98,86,12.1,4,2.84,NM,381-2709,0,610.2,53.2
173,65,0,116.8,178.9,182.4,14.1,1,0,0,87,19.86,93,15.21,150,8.21,2,3.81,OR,397-5060,0,492.20000000000005,47.09
174,179,0,219.2,149.4,244.7,6.1,0,0,0,92,37.26,125,12.7,104,11.01,5,1.65,LA,415-2393,0,619.4,62.61999999999999
175,94,0,252.6,169.0,170.9,11.1,2,0,0,104,42.94,125,14.37,106,7.69,7,3.0,NE,377-1765,0,603.6,68.0
176,62,0,147.1,190.4,195.2,12.2,0,0,0,91,25.01,107,16.18,115,8.78,3,3.29,MN,409-2111,0,544.9000000000001,53.26
177,127,0,202.1,229.4,195.2,11.5,2,0,0,103,34.36,86,19.5,113,8.78,3,3.11,MI,401-3170,0,638.2,65.75
178,116,0,173.5,194.1,208.0,16.2,3,0,0,93,29.5,76,16.5,112,9.36,10,4.37,AR,405-5681,0,591.8000000000001,59.73
179,70,0,232.1,292.3,201.2,0.0,3,0,0,122,39.46,112,24.85,112,9.05,0,0.0,KS,411-4582,0,725.5999999999999,73.36
180,94,23,197.1,214.5,282.2,9.5,4,1,1,125,33.51,136,18.23,103,12.7,5,2.57,WV,355-5009,0,703.3,67.00999999999999
181,126,0,58.2,138.7,136.8,11.9,5,0,0,94,9.89,118,11.79,91,6.16,1,3.21,AK,372-3750,1,345.59999999999997,31.05
182,67,36,115.6,237.7,169.9,9.9,2,0,1,111,19.65,94,20.2,103,7.65,12,2.67,NY,405-2888,0,533.0999999999999,50.169999999999995
183,19,0,186.1,254.3,214.0,14.6,2,0,0,98,31.64,57,21.62,127,9.63,7,3.94,NH,361-3337,0,669.0,66.83000000000001
184,170,0,259.9,245.0,134.4,8.4,3,1,0,68,44.18,122,20.83,121,6.05,3,2.27,VA,350-1639,0,647.6999999999999,73.32999999999998
185,73,0,214.3,268.5,241.2,10.8,1,0,0,145,36.43,135,22.82,92,10.85,13,2.92,NM,333-3221,0,734.8,73.02
